<markup>Rio</markup>,201,139,139,1
<markup>Aber Diamond Corp</markup>,201,0,2,1
<markup>Rio Tinto Plc</markup>,201,94,96,1
Robert Gannicott Gannicott,201,111,113,0
Toronto Stock,201,18,19,0
Northwest Territories,201,81,82,0
Canadian Press,201,103,104,0
Robert Gannicott,201,111,112,0
Gannicott Gannicott,201,112,113,0
<markup>Alcan Inc</markup>,201,154,155,1
<markup>Aber</markup>'s,201,60,60,1
<markup>Aber</markup>,201,70,70,1
<markup>Aber</markup>,201,107,107,1
<markup>Aber</markup>,201,116,116,1
<markup>Rio</markup>'s,201,124,124,1
<markup>Rio</markup>,201,139,139,1
<markup>Aber Diamond Corp</markup>,201,0,2,1
<markup>Rio Tinto Plc</markup>,201,94,96,1
Robert Gannicott Gannicott,201,111,113,0
Toronto Stock,201,18,19,0
Northwest Territories,201,81,82,0
Canadian Press,201,103,104,0
Robert Gannicott,201,111,112,0
Gannicott Gannicott,201,112,113,0
<markup>Alcan Inc</markup>,201,154,155,1
<markup>Aber</markup>'s,201,60,60,1
<markup>Aber</markup>,201,70,70,1
<markup>Aber</markup>,201,107,107,1
<markup>Aber</markup>,201,116,116,1
<markup>Rio</markup>'s,201,124,124,1
<markup>Rio</markup>,201,139,139,1
<markup>Aber Diamond Corp</markup>,201,0,2,1
<markup>Rio Tinto Plc</markup>,201,94,96,1
Robert Gannicott Gannicott,201,111,113,0
Toronto Stock,201,18,19,0
Northwest Territories,201,81,82,0
Canadian Press,201,103,104,0
Robert Gannicott,201,111,112,0
Gannicott Gannicott,201,112,113,0
<markup>Alcan Inc</markup>,201,154,155,1
<markup>Aber</markup>'s,201,60,60,1
<markup>Aber</markup>,201,70,70,1
<markup>Aber</markup>,201,107,107,1
<markup>Aber</markup>,201,116,116,1
<markup>Rio</markup>'s,201,124,124,1
<markup>Rio</markup>,201,139,139,1
<markup>Aber Diamond Corp</markup>,201,0,2,1
<markup>Rio Tinto Plc</markup>,201,94,96,1
Robert Gannicott Gannicott,201,111,113,0
Toronto Stock,201,18,19,0
Northwest Territories,201,81,82,0
Canadian Press,201,103,104,0
Robert Gannicott,201,111,112,0
Gannicott Gannicott,201,112,113,0
<markup>Alcan Inc</markup>,201,154,155,1
